pattern,checkIn,hours,category,oracle_price,oracle_plan,engine_price,engine_plan
平日,16,11,新規構成(要確認),19400,"前延長4本 + 宿泊1部(平日)",18400,"休憩(M時間) + 休憩(M時間) + 延長2本"
平日,16,21,既存が割高(最適化漏れ),22200,"前延長4本 + 宿泊1部(平日) + 延長 2本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,16,21.5,既存が割高(最適化漏れ),23600,"前延長4本 + 宿泊1部(平日) + 延長 3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,16,22,既存が割高(最適化漏れ),25000,"前延長4本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,16,22.5,既存が割高(最適化漏れ),26400,"前延長4本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
平日,16,23,既存が割高(最適化漏れ),27200,"前延長4本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
平日,16,23.5,既存が割高(最適化漏れ),27200,"前延長4本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本"
平日,16.5,10,新規構成(要確認),18000,"前延長3本 + 宿泊1部(平日)",17000,"休憩(M時間) + 休憩(M時間) + 延長1本"
平日,16.5,21,既存が割高(最適化漏れ),22200,"前延長3本 + 宿泊1部(平日) + 延長 3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,16.5,21.5,既存が割高(最適化漏れ),23600,"前延長3本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,16.5,22,既存が割高(最適化漏れ),25000,"前延長3本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
平日,16.5,22.5,既存が割高(最適化漏れ),25800,"前延長3本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
平日,17,21,既存が割高(最適化漏れ),22200,"前延長2本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(M時間) + 宿泊2部"
平日,17,21.5,既存が割高(最適化漏れ),23600,"前延長2本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(M時間) + 宿泊2部 + 延長1本"
平日,19.5,7,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",13400,"前延長3本 + 休憩(M時間) + 延長1本"
平日,20,6.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",12000,"前延長2本 + 休憩(M時間) + 延長1本"
平日,20,7,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",13400,"前延長2本 + 休憩(M時間) + 延長2本"
平日,20.5,6,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",10600,"前延長1本 + 休憩(M時間) + 延長1本"
平日,20.5,6.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",12000,"前延長1本 + 休憩(M時間) + 延長2本"
平日,20.5,7,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",13400,"前延長1本 + 休憩(M時間) + 延長3本"
平日,21,5.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",9200,"休憩(M時間) + 延長1本"
平日,21,6,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",10600,"休憩(M時間) + 延長2本"
平日,21,6.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",12000,"休憩(M時間) + 延長3本"
平日,21,7,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",13400,"休憩(M時間) + 延長4本"
平日,21.5,5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",9200,"休憩(M時間) + 延長1本"
平日,21.5,5.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",10600,"休憩(M時間) + 延長2本"
平日,21.5,6,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",12000,"休憩(M時間) + 延長3本"
平日,21.5,6.5,既存が割高(最適化漏れ),13800,"宿泊1部(平日)",13400,"休憩(M時間) + 延長4本"
平日,22,4.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本"
平日,22,5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本"
平日,22,5.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本"
平日,22,6,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13400,"休憩(M時間) + 延長4本"
平日,22.5,4,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本"
平日,22.5,4.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本"
平日,22.5,5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本"
平日,22.5,5.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13400,"休憩(M時間) + 延長4本"
平日,23,3.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本"
平日,23,4,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本"
平日,23,4.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本"
平日,23,5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13400,"休憩(M時間) + 延長4本"
平日,23.5,3.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本"
平日,23.5,4,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本"
平日,23.5,4.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13400,"休憩(M時間) + 延長4本"
日祝,0,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",11600,"ショート + 延長4本"
日祝,0,4,既存が割高(最適化漏れ),13800,"宿泊2部",13000,"ショート + 延長5本"
日祝,0,12.5,既存が割高(最適化漏れ),15200,"宿泊2部 + 延長1本",13800,"宿泊2部"
日祝,0,13,既存が割高(最適化漏れ),16600,"宿泊2部 + 延長2本",13800,"宿泊2部"
日祝,0,13.5,既存が割高(最適化漏れ),18000,"宿泊2部 + 延長3本",13800,"宿泊2部"
日祝,0,14,既存が割高(最適化漏れ),19400,"宿泊2部 + 延長4本",13800,"宿泊2部"
日祝,0,14.5,既存が割高(最適化漏れ),20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本"
