区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
日祝,00:00,0,20.5,25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)",4200
日祝,00:30,0.5,13,18000,"宿泊2部 + 延長3本",13800,"宿泊2部",4200
日祝,00:30,0.5,20,25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)",4200
日祝,01:00,1,12.5,18000,"宿泊2部 + 延長3本",13800,"宿泊2部",4200
日祝,01:00,1,19.5,25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)",4200
日祝,01:30,1.5,12,18000,"宿泊2部 + 延長3本",13800,"宿泊2部",4200
日祝,01:30,1.5,19,25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)",4200
日祝,15:30,15.5,23.5,28600,"前延長5本 + 宿泊1部 + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本",4200
平日,15:30,15.5,11,20800,"前延長5本 + 宿泊1部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3800
日祝,15:30,15.5,11,20800,"前延長5本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3800
土,15:30,15.5,11,20800,"前延長5本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3800
日祝,00:00,0,15.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本",3600
日祝,00:30,0.5,15,21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本",3600
日祝,01:00,1,14.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本",3600
日祝,01:30,1.5,14,21600,"宿泊1部 + 休憩(サービスタイム2部)",18000,"宿泊2部 + 延長3本",3600
